name,age,height_cm,weight_kgs,positions,nationality,overall_rating,international_reputation,body_type,national_team,national_rating,freekick_accuracy,sprint_speed,shot_power,strength,penalties,preferred_foot,value_euro
W. Miller,22,167.64,66.2,"LM,ST,RM",England,62,1,Normal,,,46,71,63,55,53,Right,425000
D. Foulon,19,154.94,78,"LB,LM",Belgium,62,1,Normal,,,62,75,42,63,34,Left,450000
J. Kade,19,154.94,67.1,"CAM,LB",Germany,62,1,Lean,,,45,67,45,30,45,Left,650000
H. Belal,25,185.42,73.9,"CDM,CB",Saudi Arabia,62,1,Lean,,,28,52,51,70,37,Right,325000
Pedro Pelágio,18,154.94,64.9,CM,Portugal,62,1,Lean,,,50,63,70,51,57,Right,525000
G. Mainero,23,152.4,66.2,"RW,RM",Argentina,62,1,Lean,,,45,81,64,66,59,Right,450000
D. Mazzocco,23,185.42,81.2,"CM,CDM",Italy,62,1,Normal,,,59,64,64,60,51,Right,400000
Kim Do Hyung,28,154.94,69.9,RM,Korea Republic,62,1,Normal,,,33,78,58,61,59,Right,325000
D. Wright,23,175.26,68.9,"RM,ST",England,62,1,Normal,,,56,77,57,74,54,Right,425000
C. Raglan,25,185.42,74.8,"CB,RB",England,62,1,Normal,,,27,67,45,78,36,Right,300000
Du Zhenyu,36,175.26,69.9,"LM,CM",China PR,62,1,Stocky,,,70,38,63,55,62,Left,130000
M. Ofkir,22,152.4,71.2,"RM,LM",Norway,62,1,Lean,,,38,83,63,45,43,Right,450000
M. Kühne,31,152.4,78,"RB,CB",Germany,62,1,Normal,,,29,65,48,65,36,Right,220000
F. Báez,27,154.94,73.9,CB,Paraguay,62,1,Normal,,,21,63,38,55,40,Right,300000
Kike,19,190.5,76.2,"CB,CDM",Spain,62,1,Lean,,,33,54,42,69,46,Right,400000
J. Clisby,27,154.94,72.1,"LWB,LB",Australia,62,1,Lean,,,50,70,55,75,51,Left,290000
Ko Kyung Min,31,152.4,71.2,ST,Korea Republic,62,1,Normal,,,48,63,64,60,55,Right,270000
M. O'Brien,26,154.94,77.1,CB,Republic of Ireland,62,1,Normal,,,31,46,50,72,29,Right,300000
J. Segre,22,185.42,74.8,CM,Italy,62,1,Normal,,,42,62,64,57,52,Right,475000
A. Lotti,22,152.4,69.9,ST,Argentina,62,1,Lean,,,34,79,58,55,66,Right,475000
Longchang Lin,29,187.96,82.1,CB,China PR,62,1,Normal,,,27,58,41,89,38,Right,250000
A. Leitch-Smith,29,172.72,74.8,"ST,CAM",England,62,1,Lean,,,24,73,58,62,51,Right,325000
D. Grubb,27,182.88,82.1,"RM,LM,CAM",England,62,1,Normal,,,63,71,58,64,59,Right,325000
B. Kraev,21,185.42,69.9,"CM,ST,RW",Bulgaria,62,1,Lean,Bulgaria,67,42,64,67,49,41,Right,475000
L. Jackson,23,193.04,83,"CB,LB",Australia,62,1,Normal,,,23,62,35,87,36,Left,325000
D. Duarte,33,154.94,72.1,"CDM,CB,CM",Mexico,62,1,Normal,,,48,67,35,68,55,Right,120000
A. Falch,26,185.42,81.2,GK,Norway,62,1,Normal,,,14,42,35,66,23,Left,260000
Feng Zhuoyi,29,182.88,74.8,CM,China PR,62,1,Normal,,,59,67,43,79,47,Right,290000
M. Bottani,27,170.18,63,"ST,LW,CAM",Switzerland,62,1,Lean,,,42,89,63,43,62,Right,350000
T. Broadbent,27,190.5,89.8,CB,England,62,1,Stocky,,,54,56,51,85,39,Left,260000
G. Wojtkowiak,35,182.88,74.8,"RB,CB",Poland,62,1,Normal,,,42,57,42,68,50,Right,90000
S. Kavanagh,25,175.26,62.1,"LB,LM,CM",Republic of Ireland,62,1,Lean,,,55,71,56,55,52,Left,325000
Zhang Chiming,30,154.94,74.8,"RM,LM,RW",China PR,62,1,Lean,,,49,72,58,65,33,Right,300000
Dani Reina,19,175.26,63,RB,Spain,62,1,Normal,,,42,65,52,55,45,Right,575000
F. Baak,19,185.42,74.8,CB,Germany,62,1,Normal,,,24,51,57,75,35,Right,450000
S. Rasswalder,31,175.26,67.1,"LB,LM",Austria,62,1,Normal,,,41,63,61,60,61,Left,200000
Tiagildo Serra,31,175.26,69.9,"ST,LW",Brazil,62,1,Normal,,,56,61,63,50,68,Left,290000
L. D'Ath,26,175.26,77.1,"RM,LM,CM",England,62,1,Normal,,,35,68,53,59,49,Right,350000
S. Nakahara,24,152.4,68,CM,Japan,62,1,Normal,,,48,75,53,60,51,Right,400000
K. Yamamoto,29,152.4,78.9,"CM,CDM,RB",Japan,62,1,Normal,,,53,73,52,79,52,Right,300000
R. Delaney,22,187.96,72.1,CB,Republic of Ireland,62,1,Lean,,,28,63,23,74,38,Left,425000
A. Collin,34,190.5,78,GK,England,62,1,Normal,,,23,29,23,63,22,Right,150000
O. Malik,28,185.42,74.8,"CDM,CB",Australia,62,1,Normal,,,32,66,39,70,46,Right,260000
T. David,22,154.94,69.9,RB,Netherlands,62,1,Normal,,,34,75,32,55,35,Right,350000
A. Bray,23,152.4,66.2,RM,England,62,1,Lean,,,41,75,62,56,50,Right,425000
Luo Xin,29,182.88,74.8,CB,China PR,62,1,Normal,,,35,63,42,66,40,Right,280000
Antón,20,185.42,74.8,ST,Spain,62,1,Lean,,,37,67,66,59,76,Right,525000
Y. Fekir,21,170.18,64.9,"LW,RW",France,62,1,Normal,,,59,74,62,51,58,Right,550000
W. Al Anazi,24,167.64,68,"CM,CDM",Saudi Arabia,62,1,Lean,,,59,66,58,60,35,Right,425000
F. Stritzel,25,198.12,92.1,GK,Germany,62,1,Normal,,,14,36,16,71,16,Right,280000
R. Griffiths,18,154.94,76.2,ST,England,62,1,Stocky,,,40,69,58,74,65,Right,700000
J. Delem,25,154.94,71.2,"CDM,RB",France,62,1,Lean,,,39,76,55,67,41,Right,325000
M. Al Enazi,35,160.02,59,"RB,RWB",Saudi Arabia,62,1,Normal,,,38,71,49,36,44,Right,90000
Y. Delfi,18,182.88,73,"RW,LW,ST",Iran,62,1,Normal,,,66,72,67,63,60,Right,600000
M. Thalhammer,21,190.5,82.1,"CM,CDM",Germany,62,1,Lean,,,42,55,57,74,40,Right,475000
M. Degerlund,20,195.58,87.1,CB,Sweden,62,1,Lean,,,28,66,33,75,32,Left,375000
H. White,23,185.42,68,"RWB,RB",England,62,1,Lean,,,34,92,47,67,39,Right,350000
B. Garratt,24,185.42,66.2,GK,England,62,1,Lean,,,15,48,21,49,18,Right,325000
W. Pawłowski,26,190.5,79.8,GK,Poland,62,1,Lean,,,12,40,11,50,33,Right,270000
V. Emmersón,23,195.58,84.8,CB,Congo,62,1,Normal,,,25,60,60,79,37,Right,400000
A. Dadakdeniz,19,193.04,83.9,GK,Turkey,62,1,Normal,,,11,28,24,60,17,Right,425000
Li Shuai,23,152.4,69.9,LB,China PR,62,1,Normal,,,30,66,22,68,39,Right,375000
M. Pronichev,19,182.88,78,"CF,ST,RW",Russia,62,1,Normal,,,40,68,56,58,55,Right,625000
N. Díaz,19,152.4,74.8,"CB,RB",Chile,62,1,Lean,,,24,66,35,65,30,Left,450000
A. Fontana,19,172.72,68,CAM,United States,62,1,Lean,,,56,73,65,56,59,Right,500000
J. Díaz,20,154.94,78,LB,Mexico,62,1,Normal,,,28,65,44,67,46,Left,450000
H. Al Habib,24,182.88,81.2,"CM,CAM",Saudi Arabia,62,1,Normal,,,61,64,64,73,35,Right,400000
N. Rinderknecht,21,182.88,77.1,"CM,CDM",Germany,62,1,Normal,,,39,65,58,75,48,Right,475000
O. Shenton,21,175.26,77.1,"CM,CAM",England,62,1,Normal,,,49,61,62,67,60,Left,650000
J. Anderson,22,187.96,74.8,CM,England,62,1,Lean,,,42,71,53,55,43,Left,450000
C. Daniel,31,154.94,73,LB,England,62,1,Normal,,,54,78,70,83,52,Left,220000
D. Petrovic,26,185.42,79.8,CB,Serbia,62,1,Normal,,,28,44,40,73,34,Right,350000
A. Startsev,24,175.26,72.1,RB,Kazakhstan,62,1,Normal,,,33,85,47,61,39,Right,325000
N. Stierlin,19,182.88,74.8,"CDM,CB",Germany,62,1,Normal,,,32,63,65,67,34,Right,575000
J. Odgaard,19,187.96,79.8,"ST,RM",Denmark,62,1,Normal,,,34,66,64,67,59,Left,650000
K. Fukai,23,152.4,72.1,"CM,CDM",Japan,62,1,Normal,,,39,59,56,68,40,Right,400000
F. Barceló,25,175.26,78,ST,Uruguay,62,1,Normal,,,38,73,64,61,59,Right,400000
Hwang ByeongGeun,24,193.04,93,GK,Korea Republic,62,1,Normal,,,17,26,25,68,18,Right,325000
B. Comley,23,154.94,72.1,"CM,CDM",Montserrat,62,1,Lean,,,56,69,60,71,48,Right,450000
C. Arano,24,187.96,69.9,CM,Bolivia,62,1,Normal,,,32,65,50,55,42,Right,
J. Brandon,21,175.26,69.9,"RB,RM,LB,RWB",Scotland,62,1,Lean,,,41,80,60,62,50,Right,525000
D. Hernández,19,172.72,79.8,LW,Mexico,62,1,Lean,,,40,68,68,61,61,Left,500000
K. Mawatari,27,175.26,69.9,"RB,LB",Japan,62,1,Lean,,,40,65,57,56,41,Right,280000
A. Dávila,20,152.4,72.1,ST,Uruguay,62,1,Normal,,,35,46,58,53,56,Left,650000
M. Rodriguez,23,172.72,64.9,"LW,CM",United States,62,1,Normal,,,33,59,69,48,38,Right,475000
B. Kukeli,35,154.94,72.1,"CM,CDM",Albania,62,1,Normal,,,53,53,64,66,55,Left,150000
I. Lučić,23,193.04,98,GK,Austria,62,1,Normal,,,22,41,22,78,24,Right,325000
J. Vagnoman,18,187.96,86.2,"LB,RB",Germany,62,1,Normal,,,25,85,31,73,32,Right,600000
F. Rodríguez,23,152.4,78,"CAM,RM,LM",Switzerland,62,1,Normal,,,56,68,63,48,48,Right,425000
Marc Vales,28,182.88,78.9,"CB,CDM,RB",Andorra,62,1,Normal,,,29,71,58,75,34,Right,290000
V. Leikvoll Moberg,28,190.5,84.8,"CM,CDM",Norway,62,1,Normal,,,35,63,70,82,45,Right,300000
C. Woodman,36,175.26,68,LB,England,62,1,Normal,,,58,57,57,66,40,Left,70000
S. Ohlsson,26,185.42,78,"CDM,CM",Sweden,62,1,Lean,,,48,55,61,68,52,Right,350000
E. Seidou,27,182.88,87.1,LB,France,62,1,Stocky,,,48,67,65,75,49,Left,290000
D. Cardozo,31,170.18,66.2,"RM,LM",Argentina,62,1,Normal,,,51,73,62,63,43,Left,270000
M. Biamou,28,185.42,83,ST,France,62,1,Normal,,,21,77,62,75,58,Right,325000
E. Riis Jakobsen,20,190.5,83.9,ST,Denmark,62,1,Normal,,,31,69,63,67,59,Right,500000
Prendes,21,187.96,74.8,CB,Spain,62,1,Lean,,,26,68,54,70,33,Right,425000
M. Cassara,27,190.5,91.2,GK,France,62,1,Normal,,,13,34,23,74,12,Right,260000
P. Anderson,30,175.26,64.9,"RM,RB",England,62,1,Lean,,,61,71,57,65,52,Right,300000
G. Jones,23,152.4,73.9,"RWB,LWB",Wales,62,1,Normal,,,44,73,56,64,46,Right,350000
D. Wilson,21,182.88,76.2,ST,England,62,1,Normal,,,33,77,68,69,57,Left,500000
C. Ogilvie,23,182.88,82.1,"LB,LWB",England,62,1,Normal,,,58,69,40,67,42,Left,400000
M. Dolan,26,175.26,69.9,CM,England,62,1,Normal,,,56,66,66,70,45,Left,375000
Yu Dabao,30,182.88,78,CB,China PR,62,2,Normal,,,56,69,68,80,63,Right,230000
M. Hjulmand,19,185.42,78,CM,Denmark,62,1,Lean,,,45,61,59,66,44,Right,500000
Fran Serrano,23,193.04,84.8,CB,Spain,62,1,Normal,,,34,43,48,74,48,Right,375000
T. Söderström,25,187.96,76.2,CM,Sweden,62,1,Lean,,,45,84,60,68,41,Right,400000
J. Cejas,21,175.26,69.9,"CAM,RM",Argentina,62,1,Lean,,,46,74,61,63,54,Right,675000
J. Kotzke,28,182.88,74.8,"CDM,CB",Germany,62,1,Normal,,,50,67,53,72,64,Right,250000
J. Shackleton,19,170.18,64.9,"RB,CM",England,62,1,Lean,,,38,78,44,52,36,Right,550000
C. Alcock,31,172.72,69.9,"RB,CB",England,62,1,Normal,,,21,65,46,76,37,Right,220000
Álex Blanco,20,175.26,69.9,"LM,RM",Spain,62,1,Lean,,,45,67,66,48,54,Left,525000
Ba Dun,23,154.94,72.1,"CAM,LM,RM,ST",China PR,62,1,Normal,,,34,77,58,50,47,Right,425000
G. Sandomierski,29,195.58,86.2,GK,Poland,62,1,Lean,,,35,44,21,72,17,Left,210000
R. Aït Nouri,17,152.4,69.9,LB,France,62,1,Lean,,,38,70,43,43,40,Left,525000
J. Dem,25,182.88,72.1,"CDM,CB",Germany,62,1,Lean,,,31,74,50,72,37,Right,325000
M. Yamane,25,152.4,68.9,"CB,CDM",Japan,62,1,Normal,,,38,78,49,65,42,Right,350000
T. Payne,25,152.4,78.9,"CDM,CM,CB",New Zealand,62,1,Lean,,,60,69,66,72,47,Right,
T. Sawada,27,170.18,63,"RW,CAM,LW",Japan,62,1,Lean,,,61,75,56,46,57,Right,325000
S. Barreto,19,182.88,78,CB,Argentina,62,1,Normal,,,28,60,44,62,44,Right,600000
K. Lejeune,34,154.94,81.2,"LB,LM",France,62,1,Normal,,,66,65,61,66,70,Left,120000
W. Piñones,30,175.26,69.9,"CDM,LB",Chile,62,1,Normal,,,39,55,55,61,49,Right,230000
T. Davies,26,185.42,69.9,CB,England,62,1,Normal,,,28,69,43,72,28,Right,325000
S. Sama,26,187.96,87.1,CB,Germany,62,1,Normal,,,32,63,43,81,33,Right,350000
Fran Cruz,27,182.88,73,"CB,CDM",Spain,62,1,Normal,,,40,61,57,76,38,Right,260000
K. Nakamura,18,154.94,74.8,"RM,CAM",Japan,62,1,Lean,,,59,75,55,68,54,Right,600000
A. Eisa,22,154.94,74.8,LM,Sudan,62,1,Lean,,,40,91,60,64,48,Right,550000
S. Byrne,25,182.88,73.9,CM,Scotland,62,1,Normal,,,57,70,63,67,48,Right,375000
T. Fukumitsu,27,170.18,63,"RM,LM,CF",Japan,62,1,Normal,,,38,62,23,53,49,Right,325000
I. Meslier,19,195.58,73.9,GK,France,62,1,Lean,,,10,33,34,49,11,Right,500000
L. McCormick,35,182.88,88,GK,England,62,1,Normal,,,18,42,24,63,11,Right,120000
V. Vasic,28,185.42,79.8,GK,Serbia,62,1,Normal,,,20,47,23,61,28,Right,250000
O. Banks,26,190.5,74.8,CM,England,62,1,Normal,,,62,54,67,71,51,Right,375000
Zhang Yu,24,187.96,79.8,CB,China PR,62,1,Normal,,,36,65,37,67,39,Left,375000
O. Macías,20,175.26,73.9,"CM,CDM",Mexico,62,1,Normal,,,64,74,64,58,48,Right,550000
J. Kitolano,19,175.26,64.9,"LWB,LB",Norway,62,1,Lean,,,22,79,43,53,24,Left,550000
L. Grorud,35,187.96,86.2,CB,Norway,62,1,Normal,,,32,30,60,81,37,Right,90000
P. Beruatto,20,182.88,78,LB,Italy,62,1,Lean,,,40,67,57,68,43,Left,575000
V. Gyökeres,20,187.96,86.2,"ST,LW,RW",Sweden,62,1,Normal,,,33,70,59,68,49,Right,675000
João Pereira,28,182.88,78.9,"LB,CB",Portugal,62,1,Normal,,,55,71,55,73,46,Left,240000
T. Aldred,28,187.96,83,CB,Scotland,62,1,Normal,,,22,44,49,80,40,Right,290000
A. Schäfer,19,152.4,67.1,"LM,CM",Hungary,62,1,Lean,,,51,78,53,34,42,Right,650000
L. O'Brien,20,172.72,63,"CM,RM,LM",England,62,1,Lean,,,43,60,52,38,42,Left,650000
M. Simon,33,187.96,78,ST,Australia,62,1,Normal,,,29,73,66,85,64,Right,240000
Rubén Enri,20,154.94,72.1,ST,Spain,62,1,Normal,,,43,57,61,65,68,Right,475000
D. Pérez,19,152.4,66.2,"RW,ST",Venezuela,62,1,Normal,,,33,74,63,63,52,Right,625000
D. Alampasu,22,198.12,78,GK,Nigeria,62,1,Lean,,,11,26,17,61,14,Right,375000
F. Arkenberg,23,185.42,79.8,"CB,CDM,RB",Germany,62,1,Normal,,,20,69,46,71,45,Right,375000
S. Segarel,25,182.88,78.9,ST,France,62,1,Normal,,,33,72,58,63,62,Right,425000
Jeong Tae Wook,21,193.04,88,CB,Korea Republic,62,1,Normal,,,22,65,33,87,31,Right,400000
S. Yatéké,19,182.88,79.8,ST,Central African Rep.,62,1,Normal,,,30,78,55,75,57,Right,500000
L. Hupfauf,22,175.26,73,"RB,CB",Austria,62,1,Lean,,,35,82,46,48,45,Right,375000
Ricardo Friedrich,26,187.96,83,GK,Brazil,62,1,Normal,,,13,20,20,59,20,Right,280000
R. Torres,22,172.72,58.1,"CM,CDM",Mexico,61,1,Lean,,,43,65,51,66,53,Right,375000
H. Futami,26,152.4,74.8,"CB,LB",Japan,61,1,Stocky,,,31,70,26,80,30,Left,220000
J. Robinson,24,175.26,73.9,"CB,RB",United States,61,1,Lean,,,29,75,42,70,39,Right,290000
Meseguer,19,175.26,69.9,"LB,CB,RB",Spain,61,1,Normal,,,39,62,42,55,45,Left,450000
D. Anyembe,20,187.96,77.1,RB,Denmark,61,1,Lean,,,36,87,50,65,50,Right,375000
B. Meredith,29,187.96,93.9,GK,United States,61,1,Normal,,,14,53,24,80,21,Right,210000
Lim Min Hyeok,25,185.42,78.9,GK,Korea Republic,61,1,Normal,,,13,36,20,48,15,Right,280000
C. Jones,18,182.88,68,"CM,CAM",England,61,1,Lean,,,47,63,60,51,50,Right,550000
S. Cordero,22,152.4,59.9,"LB,LM",Chile,61,1,Lean,,,49,59,48,49,42,Right,300000
A. Edun,20,170.18,74.8,"CM,LM,LB",England,61,1,Normal,,,30,72,49,46,33,Left,550000
K. Garcia,28,187.96,87.1,"CB,LB,LM",United States,61,1,Normal,,,27,34,32,79,34,Left,250000
S. Czajkowski,22,154.94,74.8,ST,Denmark,61,1,Normal,,,34,71,57,56,62,Right,425000
I. Marega,20,195.58,98,"CB,CDM",France,61,1,Lean,,,33,49,39,92,45,Right,350000
A. Cervantes,21,154.94,68,"CDM,CM",Mexico,61,1,Lean,,,42,44,57,54,47,Right,400000
Ko Tae Won,25,187.96,79.8,CB,Korea Republic,61,1,Normal,,,22,61,31,71,30,Right,270000
R. Hall-Johnson,23,172.72,67.1,"RB,CB",England,61,1,Normal,,,40,77,49,52,47,Right,290000
Jiang Jihong,29,190.5,88,CB,China PR,61,1,Normal,,,22,50,39,71,38,Right,200000
M. Sejmenovic,33,185.42,79.8,CB,Bosnia Herzegovina,61,1,Normal,,,26,55,38,69,35,Right,140000
G. Postma,21,154.94,74.8,"CDM,CM",Netherlands,61,1,Normal,,,35,61,67,64,34,Left,300000
J. Ščuk,28,182.88,71.2,"CDM,CM",Bosnia Herzegovina,61,1,Normal,,,46,62,65,61,45,Right,210000
Raúl Vallejo,23,175.26,73,"CAM,CM",Spain,61,1,Normal,,,49,62,63,58,56,Right,325000
F. Al Shammari,37,154.94,74.8,GK,Saudi Arabia,61,1,Normal,,,19,37,22,36,22,Right,20000
A. Ciss,19,154.94,69.9,CM,Senegal,61,1,Lean,,,45,75,66,55,46,Right,525000
A. Dursun,20,152.4,69.9,LB,Turkey,61,1,Normal,,,37,67,54,58,40,Left,475000
E. Zaldívar,22,175.26,72.1,"CM,RB",Mexico,61,1,Normal,,,48,74,62,59,51,Right,400000
S. Schreck,20,154.94,63,CAM,Germany,61,1,Lean,,,51,66,44,33,47,Right,550000
T. Cissokho,19,200.66,88,CB,France,61,1,Lean,,,33,55,46,85,46,Left,475000
Jorge Mier,20,175.26,64.9,RB,Spain,61,1,Lean,,,53,71,37,42,41,Right,475000
F. Sivetti,20,152.4,77.1,CM,Argentina,61,1,Normal,,,39,64,58,60,48,Right,400000
Liu Junshuai,24,185.42,79.8,"CB,CM",China PR,61,1,Normal,,,35,63,43,76,36,Right,290000
A. Sissako,20,185.42,79.8,"CM,CDM",France,61,1,Normal,,,39,67,56,56,44,Right,550000
J. Aros,23,154.94,79.8,"RB,CDM",Chile,61,1,Normal,,,36,56,47,60,44,Right,325000
R. Hepburn-Murphy,20,172.72,81.2,ST,England,61,1,Normal,,,43,77,62,34,63,Right,550000
A. Halme,20,195.58,78,CB,Finland,61,1,Lean,,,24,52,31,80,31,Right,500000
K. O'Connor,23,182.88,74.8,"LB,CDM",Republic of Ireland,61,1,Lean,,,68,62,56,60,53,Left,325000
L. Sotomayor,22,152.4,72.1,GK,Chile,61,1,Normal,,,12,42,20,63,24,Right,350000
T. Vaiho,30,187.96,78,GK,Sweden,61,1,Normal,,,12,32,49,72,17,Right,170000
J. Bühler,21,154.94,73.9,"RM,RW,CAM",Germany,61,1,Lean,,,38,71,56,60,48,Right,400000
A. Zekaj,18,187.96,83,CDM,Serbia,61,1,Lean,,,48,63,58,72,51,Right,475000
I. Minchev,27,167.64,59.9,"CM,LM",Bulgaria,61,1,Normal,,,43,64,54,33,45,Right,
K. Howkins,22,195.58,83.9,CB,England,61,1,Normal,,,27,67,33,84,35,Right,280000
J. Chianese,29,175.26,74.8,RM,Australia,61,1,Normal,,,52,69,60,63,55,Right,250000
C. Hidalgo,32,182.88,73.9,ST,Colombia,61,1,Normal,,,58,66,55,51,51,Right,200000
T. Alarcón,19,175.26,69.9,"CB,CDM",Chile,61,1,Lean,,,46,63,49,60,49,Right,475000
M. Uusitalo,21,187.96,91.2,GK,Finland,61,1,Normal,,,13,31,17,58,12,Right,325000
C. Reppesgård,25,187.96,83.9,CB,Norway,61,1,Normal,,,30,64,62,70,26,Right,270000
A. Al Hamdan,19,185.42,77.1,ST,Saudi Arabia,61,1,Lean,,,31,74,56,69,60,Right,525000
A. Ryczkowski,21,152.4,71.2,LM,Poland,61,1,Lean,,,43,75,57,52,53,Right,350000
Parra,23,170.18,64.9,"RB,RM",Spain,61,1,Normal,,,39,58,34,39,41,Right,300000
N. Al Omran,21,170.18,68.9,CAM,Saudi Arabia,61,1,Lean,,,63,67,54,55,49,Right,375000
L. Dietz,22,190.5,78.9,"CDM,CB",Germany,61,1,Lean,,,35,61,56,69,38,Right,400000
D. Contreras,25,172.72,62.1,CDM,Colombia,61,1,Lean,,,38,73,50,56,34,Right,300000
B. Risa,21,187.96,76.2,"LB,RW,LW",Norway,61,1,Normal,,,47,77,58,69,50,Left,500000
T. Svendsen,19,172.72,66.2,"CM,LW",Norway,61,1,Normal,,,40,68,52,52,46,Right,525000
G. MacKenzie,33,190.5,83,CB,Scotland,61,1,Normal,,,37,41,43,85,46,Right,140000
A. Sarr,27,175.26,66.2,"ST,LM",Senegal,61,1,Normal,,,51,73,62,44,63,Right,270000
T. Marsh,25,154.94,79.8,"LM,RM,ST",England,61,1,Normal,,,32,83,61,64,59,Right,325000
Y. Bisseck,18,193.04,83,"CB,CDM",Germany,61,1,Normal,,,35,60,42,74,49,Right,500000
T. Casali,23,190.5,82.1,GK,Austria,61,1,Lean,,,11,25,27,38,13,Right,250000
A. Spyrou,19,182.88,73.9,"ST,LW",England,61,1,Lean,,,41,73,62,54,60,Right,525000
C. Yüksel,21,170.18,67.1,CM,Turkey,61,1,Lean,,,42,68,63,44,45,Right,550000
M. Engelhardt,25,190.5,88,GK,Germany,61,1,Normal,,,16,43,24,79,19,Right,240000
A. Ávila,20,152.4,64.9,LM,Mexico,61,1,Lean,,,45,70,55,41,49,Right,475000
A. Al Jadani,28,154.94,67.1,GK,Saudi Arabia,61,1,Normal,,,15,50,16,49,22,Right,200000
R. Edwards,25,175.26,73,"CAM,LM,CM",Australia,61,1,Normal,,,40,70,60,66,58,Right,325000
F. Baise,38,172.72,72.1,"CB,CDM",Hong Kong,61,1,Normal,,,40,31,75,60,51,Right,30000
R. Muhammed,25,182.88,82.1,ST,France,61,1,Normal,,,57,94,58,75,58,Right,325000
Li Xiaoming,23,182.88,73.9,"CB,CDM",China PR,61,1,Lean,,,38,68,41,62,32,Right,300000
A. Stadler,31,152.4,71.2,"ST,RM",United States,61,1,Lean,,,36,74,57,60,57,Right,240000
C. Clements,29,175.26,66.2,CM,England,61,1,Normal,,,60,59,52,62,53,Right,250000
T. Denton,23,175.26,66.2,"LB,LWB",England,61,1,Lean,,,44,78,58,59,56,Left,325000
D. Hyam,23,187.96,69.9,CB,Scotland,61,1,Lean,,,26,64,43,63,31,Right,350000
T. Buitink,18,175.26,68,ST,Netherlands,61,1,Normal,,,51,72,54,58,48,Right,525000
Vitó Ferreira,21,154.94,69.9,CM,Portugal,61,1,Lean,,,46,62,64,70,53,Left,375000
D. Barnes,22,193.04,78,GK,England,61,1,Normal,,,23,58,32,59,29,Left,290000
T. Kainz,26,175.26,69.9,RB,Austria,61,1,Normal,,,56,63,60,65,41,Right,260000
Gorka Giralt,23,190.5,78.9,GK,Spain,61,1,Lean,,,13,43,24,61,18,Left,300000
Leja,23,190.5,83.9,GK,Spain,61,1,Normal,,,12,15,23,41,17,Right,300000
G. Gaetano,18,175.26,69.9,"CAM,ST",Italy,61,1,Lean,,,42,67,73,45,65,Right,525000
I. Aguilar,21,152.4,74.8,CDM,Mexico,61,1,Normal,,,49,60,64,60,54,Right,425000
M. Hosseini,22,182.88,76.2,CB,Iran,61,1,Stocky,,,37,54,45,54,40,Right,290000
K. Partida,23,172.72,68,"LB,CM",United States,61,1,Normal,,,34,72,46,52,42,Left,280000
F. Obilor,28,185.42,94.8,CB,Nigeria,61,1,Normal,,,29,66,32,86,36,Right,250000
Jiang Jiajun,29,182.88,73,"RB,LB",China PR,61,1,Normal,,,28,65,23,68,33,Right,200000
H. Tifner,22,175.26,71.2,CAM,Argentina,61,1,Normal,,,46,64,53,46,58,Right,400000
S. Old,33,190.5,84.8,CB,New Zealand,61,1,Normal,,,29,54,32,74,35,Right,140000
D. Byrtek,28,193.04,83.9,CB,Poland,61,1,Normal,,,40,70,23,86,34,Right,250000
Ángel López,22,172.72,74.8,"LM,RM",Spain,61,1,Normal,,,44,66,53,53,48,Left,400000
J. Cacciabue,21,172.72,73,"CDM,CM",Argentina,61,1,Normal,,,39,57,56,56,54,Right,375000
Wang Song,35,152.4,73.9,RM,China PR,61,1,Normal,,,72,42,68,73,69,Right,130000
B. Lundgaard,23,195.58,93,GK,United States,61,1,Normal,,,15,28,25,68,20,Right,250000
L. Woolfenden,20,182.88,69.9,"CB,RB",England,61,1,Normal,,,29,64,41,72,42,Right,325000
A. Helmersen,20,190.5,82.1,ST,Norway,61,1,Lean,,,42,61,66,79,57,Left,450000
J. Wallace,27,154.94,83,CM,England,61,1,Stocky,,,42,55,64,63,47,Right,270000
G. Guiffrey,21,182.88,73.9,CB,Argentina,61,1,Lean,,,30,69,45,65,39,Left,375000
P. Michael,20,185.42,83,ST,Nigeria,61,1,Normal,,,37,70,60,81,43,Right,425000
M. Forss,19,185.42,64.9,ST,Finland,61,1,Normal,,,28,52,71,61,52,Right,450000
K. Kakoi,27,190.5,89.8,GK,Japan,61,1,Normal,,,15,53,24,58,18,Right,200000
R. Yamazaki,29,172.72,76.2,"LM,ST",Japan,61,1,Normal,,,39,68,65,68,69,Right,250000
M. Krauß,22,170.18,66.2,"RW,ST",Germany,61,1,Normal,,,35,74,48,43,53,Right,350000
D. O'Shea,20,182.88,64.9,CB,Republic of Ireland,61,1,Normal,,,28,65,48,73,45,Right,375000
E. Fernández,26,190.5,77.1,GK,Mexico,61,1,Lean,,,9,23,24,57,24,Right,230000
Lee Tae Ho,27,185.42,79.8,CB,Korea Republic,61,1,Normal,,,29,59,35,75,34,Right,240000
A. Al Fiqi,26,175.26,66.2,RM,Saudi Arabia,61,1,Normal,,,41,73,53,56,53,Left,300000
Darío Poveda,21,185.42,74.8,ST,Spain,61,1,Lean,,,51,57,57,45,55,Right,425000
S. Boyd,32,187.96,74.8,CB,Scotland,61,1,Normal,,,45,52,48,79,41,Right,140000
J. Keohane,28,154.94,72.1,"CDM,CAM",Republic of Ireland,61,1,Lean,,,58,76,55,59,56,Right,240000
